module_variable_name	source_text	target_text	need_translate
Common.Other.GlobalPrompt.BraveHero_Sender	系统	système 	1
Common.Other.GlobalPrompt.BraveHero_TimeLimit	当前时间不可挑战	on ne peut pas défier en ce moment 	1
Common.Other.GlobalPrompt.BraveHero_Title	【勇者英雄坛】跨服排名奖励	récompense du classement dans l'【autel du héros du guerrier 】 	1
Common.Other.GlobalPrompt.CAN_NOT_USE_MSG	该道具不可在%s阶及以上的坐骑上使用	cet objet est indisponible pour la monture au niveau %s et plus 	1
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT	须事先激活过该坐骑外形	il faut activer la figure de cette monture 	1
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT_2	该坐骑已经是永久坐骑！	cette monture est permanente 	1
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_SUC	使用成功，您的坐骑#C(#ffff37)%s#n变为永久性坐骑	utilisation avec succès ，votre monture a été #C(#ffff37)%s#npermanente	1
Common.Other.GlobalPrompt.CHANGE_NAME_SUC_MSG	龙骑士#C(#E87D22)%s#n使用角色改名卡将名字改为#C(#E87D22)%s#n,闻名天下。	chevalier de dragon #C(#E87D22)%s#n utiliser la carte du change de nom remplacer le nom par  #C(#E87D22)%s#n,célèbre mondialement.	1
Common.Other.GlobalPrompt.CHANGE_NAME_SUC_MSG2	龙骑士#C(#E87D22)%s#n合服后将名字改为#C(#E87D22)%s#n。	après le mélange du serveur ,le chevalier #C(#E87D22)%s#nremplace le nom par#C(#E87D22)%s#n。	1
Common.Other.GlobalPrompt.COUPLES_ADDCD_MSG	立即增加%s秒行动CD	augmenter immédiatement %s secondes CD d'action 	1
Common.Other.GlobalPrompt.COUPLES_ADDPASS_MSG	立即增加%s秒总通关时间	augmenter immédiatement %s secondes du temps du franchissement total 	1
Common.Other.GlobalPrompt.COUPLES_ADD_BUFF	成功获得Buff	vous avez réussi à acquérir buff	1
Common.Other.GlobalPrompt.COUPLES_DELCD_MSG	立即减少%s秒行动CD	diminuer immédiatement %s secondes CD d'action 	1
Common.Other.GlobalPrompt.COUPLES_DELPASS_MSG	立即减少%s秒总通关时间	diminuer immédiatement %s secondes du temps du franchissement total 	1
Common.Other.GlobalPrompt.COUPLES_FB_FAILED	本次通关已结束，您的挑战失败！	ce franchissement a fini．tu as échoué dans le défi．	1
Common.Other.GlobalPrompt.COUPLES_INVETE_MSG2	您的爱人奖励还未领取，快提醒他领取通关奖励吧	votre époux ne reçoit pas encore la récompense．allez l'appeler à recevoir sa récompense du franchissement 	1
Common.Other.GlobalPrompt.COUPLES_INVITE_MSG	您的爱人不在，一个人也可以去闯关哟	votre époux est absent．vous pouvez vous aventurer au niveau vous-même．	1
Common.Other.GlobalPrompt.COUPLES_INVITE_SUC	邀请成功，恋人正在换衣服，稍等下哟	votre invitation est acceptée．votre amoureux est en train de changer de vêtement．veuillez l'attendre un peu．	1
Common.Other.GlobalPrompt.COUPLES_LEVEL_MSG	您或您的恋人等级达不到该副本的等级，你可以挑选等级低点的哟	votre niveau ou le niveau de votre amoureux n'atteint pas le niveau de cette instance．vous pourriez choisir un plus bas niveau．	1
Common.Other.GlobalPrompt.COUPLES_NO_BUY_TIMES	今日已没有剩余的购买次数了	aucune chance d'achat ne reste aujourd'hui 	1
Common.Other.GlobalPrompt.COUPLES_NO_TIMES	您或您的爱人已经没有闯关次数了！	vous ou votre amant n'avez pas de chance d'aventurer dans le niveau 	1
Common.Other.GlobalPrompt.CardHalfYear	半年卡	carte semestrielle 	1
Common.Other.GlobalPrompt.CardMonth	月卡	carte mensuelle 	1
Common.Other.GlobalPrompt.CardReviveMail_Sender	系统	système  	1
Common.Other.GlobalPrompt.CardReviveMail_Title	您收到赠送卡片	vous avez reçu les cartes offertes	1
Common.Other.GlobalPrompt.CardWeek	周卡	carte hebdomadaire 	1
Common.Other.GlobalPrompt.Card_Award	魔晶 + %s	cristal magique + %s	1
Common.Other.GlobalPrompt.Card_Give	赠送成功	ofirre avec succès 	1
Common.Other.GlobalPrompt.Card_GoldBuff_Tips	您是半年卡玩家, 您获得了额外10%的金币加成#H	vous êtes le joueur de la carte annuelle,et vous avez acquis un 10% de bonus de la pièce d'or supplémentaire #H	1
Common.Other.GlobalPrompt.Card_Revive	你收到来自#C(#00EE00)%s#n赠送的尊贵#C(#00EE00)%s	tu revois #C(#00EE00)%s  offert par #C(#00EE00)%s#n	1
Common.Other.GlobalPrompt.CarnivalOfTopup_Award_GlobalMsg_1	#C(#00FF00)%s#n幸运之极，在#C(#00FF00)狂欢充值#n礼盒中开出了	#C(#00FF00)%s#n avoir de la chance，obtenir dans #C(#00FF00)recharge réjouissante#n boîte	1
Common.Other.GlobalPrompt.CarnivalOfTopup_Award_GlobalMsg_2	，真是让人羡慕嫉妒啊！	，je vous envie ！	1
Common.Other.GlobalPrompt.CarnivalOfTopup_Awrad_Msg	您的人品太好了，获得：#H	vous avez des bonnes qualités et obtenez ：#H	1
Common.Other.GlobalPrompt.ChangeCardUseLimit	最多同时使用5张变身卡	on peut utiliser au maximum cinq cartes de transformation en même temps	1
Common.Other.GlobalPrompt.ChangeRoleGender_Tips1	有家室的人无法进行变性操作	vous êtes marié et vous ne pouvez pas recevoir l'opération du changement de sexe	1
Common.Other.GlobalPrompt.ChristmasFashionShowMail_Content	你收到来自#C(#00EE00)%s#n赠送的#Z(%s,%s)	vous avez reçu #Z(%s,%s)offert par #C(#00EE00)%s#n	1
Common.Other.GlobalPrompt.ChristmasFashionShowMail_Sender	系统	système 	1
Common.Other.GlobalPrompt.ChristmasFashionShowMail_Title	您收到赠送	vous avez reçu 	1
Common.Other.GlobalPrompt.ChristmasFashionShow_DonateTips_Head	赠送成功，获得返利：#H	offrir avec succès,et acquérir la récompense :#H	1
Common.Other.GlobalPrompt.ChristmasFashionShow_Tips_Head	购买成功，获得：#H	acheter avec succès ，acquérir：#H	1
Common.Other.GlobalPrompt.ChristmasFashionShow_Tips_NotLocalServer	非本服好友，不能赠送	Il n'est pas votre ami dans ce serveur, vous ne pouvez pas lui offrir	1
Common.Other.GlobalPrompt.ChristmasHaoReward_Content	由于您的背包已满, 系统已将【圣诞嘉年华-有钱就是任性】充值奖励暂时保存于邮件附件中。请尽快整理您的背包，预留足够的背包格子，并且在7天内提取附件中的物品。	comme votre sac à dos est plein，le système garde votre récompense de【carnaval du Noël-les riches sont capricieux】dans l'annexe de l'e-mail provisoirement, s'il vous plaît, arrangez votre sac à dos, et réservez assez de place. Il faut recevoir la récompense en 7 jours	1
Common.Other.GlobalPrompt.ChristmasHaoReward_Sender	系统	système 	1
Common.Other.GlobalPrompt.ChristmasHaoReward_Title	【圣诞嘉年华】跨服积分排名奖励	Les récompenses du classement des points accumulés d'inter-serveurs de 【carnaval du Noël】	1
Common.Other.GlobalPrompt.ChristmasHao_Content	恭喜！您在#C(#E87D22)【圣诞嘉年华-有钱就是任性】#n活动中跨服排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Félicitations! Vous êtes le%s dans le classement d'inter-serveurs de l'activité #C(#E87D22)【carnaval du Noël-les riches sont capricieux】#n, vous atteignez le standard du classement de la récompense, et vous avez reçu de nombreuses récompenses.	1
Common.Other.GlobalPrompt.ChristmasHao_Sender	系统	système 	1
Common.Other.GlobalPrompt.ChristmasHao_Title	【圣诞嘉年华】跨服积分排名奖励	Les récompenses du classement des points accumulés d'inter-serveurs de 【carnaval du Noël】	1
Common.Other.GlobalPrompt.ChristmasMountLottery_Precious_Msg	#C(#00FF00)%s#n在圣诞坐骑转转乐活动中抽奖获得：#Z(%s,%s)的奖励,真是羡慕妒忌恨啊!	#C(#00FF00)%s#n a dans le tirage au sort de l'activité de la joie en tournant des montures de Noël reçu : la récompenses de #Z(%s,%s), on est envieux, jaloux et on hait	1
Common.Other.GlobalPrompt.ChristmasMountLottery_Tips_Head	抽奖成功，获得：#H	tiré ave succès, reçu :#H	1
Common.Other.GlobalPrompt.ChristmasWingLottery_Precious_Msg	#C(#00FF00)%s#n在圣诞羽翼转转乐活动中抽奖获得：#Z(%s,%s)的奖励,真是羡慕妒忌恨啊!	#C(#00FF00)%s#n a dans le tirage au sort de l'activité de la joie en tournant des ailes de Noël reçu : la récompenses de #Z(%s,%s), on est envieux, jaloux et on hait	1
Common.Other.GlobalPrompt.ChristmasWingLottery_Tips_Head	抽奖成功，获得：#H	tiré ave succès, reçu :#H	1
Common.Other.GlobalPrompt.ChristmasWishTree_Tips_Head	购买成功，获得：#H	Acheté avec succès, reçu :#H	1
Common.Other.GlobalPrompt.Christmas_Tips_ConsumeEXp	恭喜获得%s圣诞活动积分	Félicitations pour recevoir %s points accumulés de l'activité du Noël	1
Common.Other.GlobalPrompt.ClashOfTitansBeKilledTips	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n成功终结了#C(#FFFF00)%s#n的%s连杀！地图坐标#C(#00ff00)#U#A(#K(MoveXY,%s,%s))(%s,%s)#n#n#n处出现了“#C(#0066CC)%s的英魂#n”，拾取后可获得%s的属性。	#C(#EE7600)【combat des dieux】#n#C(#FFFF00)%s#n réussir à terminer #C(#FFFF00)%s#n的%s tueries consécutives！la coordonnée de la carte #C(#00ff00)#U#A(#K(MoveXY,%s,%s))(%s,%s)#n#n#n apparaît “âme #n de #C(#0066CC)%s ”，le ramasser et obtenir l'attribut %s	1
Common.Other.GlobalPrompt.ClashOfTitansCanNotReborn	你的复活次数已经用完，请等待下次活动开启	vous avez utilisé toutes vos fois de renaissance．veuillez attendre l'ouvert de la prochaine activité 	1
Common.Other.GlobalPrompt.ClashOfTitansDeadoutTips	本次诸神之战您的个人积分为#C(#ffff37)%s#n，奖励将在活动结束后发放 	dans le combat des dieux votre point personnel est de #C(#ffff37)%s#n，vous allez recevoir la récompense après la fin de l'activité 	1
Common.Other.GlobalPrompt.ClashOfTitansEnd	本次活动已结束 	cette activité a déjà fini	1
Common.Other.GlobalPrompt.ClashOfTitansEndWithOutTitan	#C(#EE7600)【诸神之战】#n活动已结束，仍有#C(#ffff37)%s#n位战神存活，下一次他们能分出胜负吗？	#C(#EE7600)【combat des dieux 】#n l'activité a fini，#C(#ffff37)%s#n maîtres de guerre survivent．la prochaine fois est-ce que c'est possible de décerner le gagnant et l'abattu ？	1
Common.Other.GlobalPrompt.ClashOfTitansEntryClose	活动入口已关闭，下次活动请及时参与以免错过	l'entrée de l'activité est déjà fermée．dans la prochaine activité il faut y participer à temps et ne pas la manquer 	1
Common.Other.GlobalPrompt.ClashOfTitansFiveMiniutesReady	#C(#EE7600)【诸神之战】#n活动已开启，#C(#ffff37)5#n分钟后活动入口将关闭，请各位骑士及时进入	#C(#EE7600)【combat des dieux 】#n commence，après #C(#ffff37)5#n minutes l'entrée de l'activité sera fermée．il faut que des chevaliers y entrent à temps 	1
Common.Other.GlobalPrompt.ClashOfTitansKillTips1	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n气势如虹，完成%s连杀。	#C(#EE7600)【combat des dieux】#n#C(#FFFF00)%s#n plein de puissance，finir %s tueries consécutives	1
Common.Other.GlobalPrompt.ClashOfTitansKillTips2	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n完成了%s连杀，已经势不可挡了。	#C(#EE7600)【combat des dieux】#n#C(#FFFF00)%s#n finit  %s tueries consécutives，il est irrésistible ．	1
Common.Other.GlobalPrompt.ClashOfTitansKillTips3	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n正在大杀特杀，达成%s连杀。	#C(#EE7600)【combat des dieux】#n#C(#FFFF00)%s#n est en train de massacrer et atteint %s tueries consécutives	1
Common.Other.GlobalPrompt.ClashOfTitansKillTips4	#C(#E87D22)【诸神之战】#n#C(#00FF00)%s#n连杀！#C(#FFFF00)%s：“还有谁？还有谁！ ”#n	#C(#E87D22)【combat des dieux】#n#C(#00FF00)%s#n tueries consécutives！#C(#FFFF00)%s：“il y a encore qui ？il y a encore qui ！ ”#n	1
Common.Other.GlobalPrompt.ClashOfTitansNotInScene	该角色目前不在场景中 	ce rôle n'est pas dans la scène  	1
Common.Other.GlobalPrompt.ClashOfTitansOneMiniutesReady	#C(#EE7600)【诸神之战】#n活动已开启，#C(#ffff37)1#n分钟后活动入口将关闭，请各位骑士及时进入。	#C(#EE7600)【combat des dieux 】#n commence，après #C(#ffff37)1#n minutes l'entrée de l'activité sera fermée．il faut que des chevaliers y entrer à temps．	1
Common.Other.GlobalPrompt.ClashOfTitansPerMinuteScore	您获得了系统发放的积分#C(#00FF00)+%s#n	vous obtenez #C(#00FF00)+%s#n points distribués par le système 	1
Common.Other.GlobalPrompt.ClashOfTitansPickUpSoulGlobal	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n拾取了”#C(#0066CC)%s的英魂#n”，战斗力发生了翻天覆地的变化！	#C(#EE7600)【combat des dieux】#n#C(#FFFF00)%s#n ramasser”l'âme #n de #C(#0066CC)%s”，la force de combat abeaucoup changé 	1
Common.Other.GlobalPrompt.ClashOfTitansPickUpSoulSelf	你拾取了%s的英魂，获得附体效果，下一场战斗属性将临时变为%s的属性。	tu ramasses l'âme de %s，obtiens l'effet de possession．dans le prochain combat，l'attribut va devenir temporairement l'attribut %s	1
Common.Other.GlobalPrompt.ClashOfTitansRoleDieWithoutFighting	由于你在60秒内没有进行战斗，复活次数-1	comme tu n'a pas combattu dans 60 secondes，on va perdre une fois de renaissance	1
Common.Other.GlobalPrompt.ClashOfTitansRoleInProtected	该角色正处于保护时间内！	ce rôle est sous la protection！	1
Common.Other.GlobalPrompt.ClashOfTitansSoulNpcName	%s的英魂	l'âme de %s	1
Common.Other.GlobalPrompt.ClashOfTitansStart	#C(#EE7600)【诸神之战】#n活动正式开启，这次谁又能战到最后成为新的王者？让我们拭目以待！	#C(#EE7600)【combat des dieux 】#n commence officiellement，cette fois qui sera le champion et deviendra le nouveau roi？suivons les résultats avec attention！	1
Common.Other.GlobalPrompt.ClashOfTitansTimeOutTip	您由于战斗超时，复活次数-1。点击跳过战斗可避免战斗超时。	votre combat dépasse le temps et vous perdez une fois de renaissance．cliquez pour faire sauter le combat et éviter de dépasser le temps 	1
Common.Other.GlobalPrompt.ClashOfTitansTitanStandOut	#C(#EE7600)【诸神之战】#n战神诞生，#C(#FFFF00)%s#n击败全部对手战到最后，下一次荣耀又将归属于谁？	#C(#EE7600)【combat des dieux】#n le maître de guerre est né，#C(#FFFF00)%s#n vainc tous les ennemis．à qui la prochaine gloire appartient ？	1
Common.Other.GlobalPrompt.CollectLongyin_Add	龙印+%s	les cachets du dragon +%s	1
Common.Other.GlobalPrompt.CollectLongyin_MailContent	由于您的背包已满, 签到奖励通过邮件发放	comme votre sac à dos est plein，la récompense de la signature sera distribuée par email	1
Common.Other.GlobalPrompt.CollectLongyin_MailSender	系统	système 	1
Common.Other.GlobalPrompt.CollectLongyin_MailTitle	每日集龙印	recueillir les cachets du dragon tous les jours	1
Common.Other.GlobalPrompt.Content	你获得了新的物品，由于你当时的背包已满，系统已将物品暂时保存于邮件附件中。请尽快整理您的背包，预留足够的背包格子，并且在7天内提取附件中的物品。	tu obtiens le nouvel objet．comme ton sac à dos est plein à ce moment-là，le système le met temporairement dans l'annexe de l'email．veuillez arranger votre sac à dos et réserver assez de cases du sac à dos et recevoir l'objet dans l'annexe dans sept jours．	1
Common.Other.GlobalPrompt.CouplesFashion_DonateTips_Head	赠送成功，获得返利：#H	réussir à offrir et obtenir la remise：#H	1
Common.Other.GlobalPrompt.CouplesFashion_Mail_Content	你收到来自#C(#00EE00)%s#n赠送的#Z(%s,%s)	tu reçois #Z(%s,%s) offert par #C(#00EE00)%s#n	1
Common.Other.GlobalPrompt.CouplesFashion_Mail_Sender	系统	système 	1
Common.Other.GlobalPrompt.CouplesFashion_Mail_Title	您收到赠送	Vous avez reçu l'offre	1
Common.Other.GlobalPrompt.CouplesFashion_Tips_Head	购买成功，获得：#H	Acheté avec succès, reçu :#H	1
Common.Other.GlobalPrompt.CouplesFashion_Tips_NotLocalServer	非本服好友，不能赠送	Il n'est pas votre ami dans ce serveur, vous ne pouvez pas lui offrir	1
Common.Other.GlobalPrompt.CouplesGoal_Tips_Addinmi	使用成功，获得亲密值 + %s	utilisation avec succès ，vous recevez les points d'intimité + %s	1
Common.Other.GlobalPrompt.CouplesGoal_Tips_Head	成功领取目标奖励，获得：#H	Reçu les récompenses objectives avec succès, reçu ：#H	1
Common.Other.GlobalPrompt.CrazyShoppingCD	抢购正在冷却中	L'achat en se précipitant est au cours du refroidissement	1
Common.Other.GlobalPrompt.CrazyShoppingGetReady1	#C(#FF0000)【疯狂抢购乐】#n本日的疯狂抢购将在#C(#00FF00)10分钟#n后开始，马上去参与抢购吧。	#C(#FF0000)【précipitez-vous follement pour achat de joie】#n l'achat en se précipitant pour aujourd'hui commencera dans#C(#00FF00)10 minutes#n，dépêchez-vous de faire des achats.	1
Common.Other.GlobalPrompt.CrazyShoppingGetReady2	#C(#FF0000)【疯狂抢购乐】#n本日的疯狂抢购将在#C(#00FF00)5分钟#n后开始，马上去参与抢购吧。	#C(#FF0000)【précipitez-vous follement pour achat de joie】#n l'achat en se précipitant pour aujourd'hui commencera dans#C(#00FF01)5 minutes#n，dépêchez-vous de faire des achats.	1
Common.Other.GlobalPrompt.CrazyShoppingGetReady3	#C(#FF0000)【疯狂抢购乐】#n本日的疯狂抢购将在#C(#00FF00)1分钟#n后开始，马上去参与抢购吧。	#C(#FF0000)【précipitez-vous follement pour achat de joie】#n l'achat en se précipitant pour aujourd'hui commencera dans#C(#00FF02)1 minute#n，dépêchez-vous de faire des achats.	1
Common.Other.GlobalPrompt.CrazyShoppingGlobalTell	#C(#FF0000)【疯狂抢购乐】#n#C(#00FF00)%s#n以迅雷不及掩耳之的速度抢到了#Z(%s,%s)，真是羡煞旁人啊!	#C(#FF0000)【précipitez-vous follement pour achat de joie】#n#C(#00FF00)%s#n a acheté#Z(%s,%s), très rapidemment, cela fait envier aux autres !	1
Common.Other.GlobalPrompt.CuiLian_Tips_1	使用成功，获属性加成：生命+%s 物攻+%s 物防+%s 法防+%s 暴击+%s 免爆+%s 格挡+%s 破挡+%s	Utilisation avec succès, vous avez reçu le bonnus de l'attribut:vie+%s attaque physique+%s défense physique+%s défense magique+%s coup critique+%s contre coup cri.+%s blocage+%s percée du blocage+%s	1
Common.Other.GlobalPrompt.CuiLian_Tips_2	使用成功，获属性加成：生命+%s 物攻 +%s 法攻 +%s 物防+%s 法防+%s 暴击+%s 免爆+%s 格挡+%s 破挡+%s	Utilisation avec succès, vous avez reçu le bonnus de l'attribut:vie+%s attaque physique+%s attaque magique+%s défense physique+%s défense magique+%s coup critique+%s contre coup cri.+%s blocage+%s percée du blocage+%s	1
Common.Other.GlobalPrompt.CutTurkeyFail	切火鸡失败，获得参与奖励：#Z(%s,%s)	Echoué de couper la dinde, vous avez reçu la récompense de la participation：#Z(%s,%s)	1
Common.Other.GlobalPrompt.CutTurkeySuccess	感恩节快乐，获得：#Z(%s,%s)	Joyeuse Action de Grâce, vous avez reçu：#Z(%s,%s)	1
Common.Other.GlobalPrompt.DAY_FP_REWARD_HEARSAY	#C(#ffff37)%s#n成功完成了#C(#00EE00)五日首充#n活动，领取了丰富的奖励物品。	#C(#ffff37)%s#n a fini l'activité #C(#00EE00) de la première recharge de cinq jours#n，et a reçu de nombreuses récompenses。	1
Common.Other.GlobalPrompt.DD_END_HEARSAY	#C(#EE7600)【魔兽入侵】#n活动已经结束，经过勇士们的浴血奋战，圣辉城成功的抵挡住了魔兽的入侵	#C(#EE7600)【invasion des montres】#n est fini，après des combats crueles, la cité sacrée de la gloire a résisté à l'envahissement des monstres avec succès	1
Common.Other.GlobalPrompt.DD_HAS_GET_REWARD_PROMPT	您今天已经参与过1次魔兽入侵，每天只能参与1次。	Vous avez déjà participé à l'envahissement des monstres une fois aujourd'hui, vous ne pouvez participer qu'une fois chaque jour	1
Common.Other.GlobalPrompt.DD_RANK_FIRST_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第1#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)%s#n。活动结束后与#C(#ffff37)第1名#n相同公会的玩家将会获得丰厚奖励	#C(#EE7600)【invasion des monstres 】#n les dégâts actuels sont classé#C(#ffff37)la première place #n：#C(#00EE00)%s#n, guilde ：#C(#00EE00)%s#n.après la fin de l'activité#C(#ffff37),les joueurs qui sont dans la même guilde que le premier#n recevront les récompenses	1
Common.Other.GlobalPrompt.DD_RANK_FIRST_NO_UNION_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第1#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)无#n。	#C(#EE7600)【invasion des monstres 】#n les dégâts actuels sont classé #C(#ffff37)la 1#n：#C(#00EE00)%s#n, la guilde ：#C(#00EE00)aucune#n.	1
Common.Other.GlobalPrompt.DD_RANK_SECOND_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第2#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)%s#n。活动结束后与#C(#ffff37)第2名#n相同公会的玩家将会获得丰厚奖励	#C(#EE7600)【invasion des monstres 】#n les dégâts actuels sont classé #C(#ffff37)la 2#n：#C(#00EE00)%s#n, la guilde ：#C(#00EE00)%s#n.Après la fin d'activité#C(#ffff37))les joueurs dans la même guide avec la deuxième place vont acquérir la grande récompense.	1
Common.Other.GlobalPrompt.DD_RANK_SECOND_NO_UNION_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第2#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)无#n。	#C(#EE7600)【invasion des monstres 】#n les dégâts actuels sont classé #C(#ffff37)la 2#n：#C(#00EE00)%s#n, la guilde ：#C(#00EE00)aucune#n.	1
Common.Other.GlobalPrompt.DD_RANK_THIRD_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第3#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)%s#n。活动结束后与#C(#ffff37)第3名#n相同公会的玩家将会获得丰厚奖励	#C(#EE7600)【invasion des monstres 】#n les dégâts actuels sont classé #C(#ffff37)la 3#n：#C(#00EE00)%s#n, la guilde ：#C(#00EE00)%s#n.après la fin d'activité .#C(#ffff37)les joueurs dans la même guide avec la troisième place #n vont acquérir la grande récompense.	1
Common.Other.GlobalPrompt.DD_RANK_THIRD_NO_UNION_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第3#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)无#n。	#C(#EE7600)【invasion des monstres 】#n les dégâts actuels sont classé #C(#ffff37)la 3#n：#C(#00EE00)%s#n, la guilde ：#C(#00EE00)aucune#n.	1
Common.Other.GlobalPrompt.DD_READY_HEARSAY_1	#C(#EE7600)【魔兽入侵】#n将于10分钟后开启，请各位勇士做好准备	#C(#EE7600)【invasion des monstres 】#n commence 10 minutes plus tard,soyez prêts.	1
Common.Other.GlobalPrompt.DD_READY_HEARSAY_2	#C(#EE7600)【魔兽入侵】#n将于1分钟后开启，勇士们可以进场提前做好活动准备	#C(#EE7600)【invasion des monstres 】#n commence 1 minute plus tard,soyez prêts.	1
Common.Other.GlobalPrompt.DD_START_HEARSAY	#C(#EE7600)【魔兽入侵】#n已经开启，勇士们请速速进入战场	#C(#EE7600)【invasion des monstres 】#n l'activité a commencé,que les guerriers entrent au combat 	1
Common.Other.GlobalPrompt.DIG_REWARD_MSG	#C(#E87D22)%s#n在巨龙宝藏探险中，寻得%s魔晶。	#C(#E87D22)%s#ndans l'exploration du trésor du dragon géant, vous avez trouvé%s cristaux magiques。	1
Common.Other.GlobalPrompt.DKCNew_Msg_UnlockLevel	【龙骑试炼】玩家#C(#00FF00)%s#n经过不懈努力，终于成功通关#C(#FF0000)%s#n，称霸全服指日可待！	【essai de la monture de chevalier】le joueur#C(#00FF00)%s#n a franchi le niveau#C(#FF0000)%s#n avec succès après ses efforts assidus，on peut souhaiter le jour qu'il domine tous les serveurs!	1
Common.Other.GlobalPrompt.DKCNew_Tips_Head	抽奖成功，恭喜获得:	Tirage au sort avec succès, félicitations pour vous de recevoir :	1
