index	exam_type	title	answer1	answer2	right
45	30	Каков крупнейший номинал монет, имеющих хождение в Швейцарии?	5 франков	100 франков	1
46	30	В каком городе в 1715 году открылась Морская академия России?	Санкт-Петербург	Уфа	1
47	60	Чей известный сонет начинается строкой: "Ее глаза на звезды не похожи..."?	Уильям Шекспир	Вольфганг Моцарт	1
48	30	Что у вратаря в хоккее с шайбой не защищено специальным снаряжением?	Предплечье	Спина	2
49	40	В каком фильме не снимался Киану Ривз?	Близнецы	Тук, тук	1
50	50	Куда поместил Зевс похищенную Европу?	Юпитер	Крит	2
51	40	Какое государство является самым маленьким в мире?	Монако	Ватикан	2
52	40	Какого цвета нет на государственном флаге Азербайджана?	Зеленого	Черного	2
53	50	В каком виде спорта используется сицилианская защита?	Шахматы	Гандбол	1
54	60	Как называется российский зенитный ракетный комплекс С-500?	Анюта	Прометей	2
55	70	Что, согласно теории Эйнштейна, во вселенной неизменно?	Скорость света	Сила тока	1
56	40	Какое из морей не омывает Турцию?	Мертвое	Красное	2
57	30	Что "ломали" наши предки, когда кланялись важной особе?	Шапку	Руку	1
58	30	Какие грибы считаются лучшими для засушивания?	Белые	Лисята	1
59	30	Кто плавает, хлопая створками?	Гребешок	Утка	1
60	30	Бассейну какого океана принадлежит море Флорес?	Атлантический	Тихий	2
61	30	Какая из стран никогда не входила в нацистский блок во время Второй Мировой войны?	Испания	Турция	2
62	30	Что делает царь Пётр I на картине Сурикова «Утро стрелецкой казни»?	Сидит на коне	Курит трубку	1
63	30	Какая из этих планет не относится к группе планет-гигантов?	Юпитер	Меркурий	2
64	30	Когда в 1929 г. случился крах Нью-Йоркской биржи и началась Великая Депрессия?	Март	Октябрь	2
65	30	В какой стране можно купить сделанный там настоящий персидский ковёр?	Иран	Ирак	1
66	30	Какая птица спасла жизнь императора Китая в сказке Андерсена?	Соловей	Орел	1
67	30	Какой слой земной атмосферы находится ниже всего?	Цетросфера	Тропосфера	2
68	30	Представители какого народа именуют себя словом «хай»?	Немцы	Армяне	2
69	30	Каких преступников Данте поместил в девятый круг ада?	Лжецов	Предателей	2
70	30	Какая планета имеет самый большой период обращения вокруг Солнца?	Нептун	Юпитер	1
71	30	Какой город был построен на семи холмах?	Рим	Амстердам	1
72	30	Из какого восточного единоборства родилось современное дзюдо?	Бокс	Джиу-джитсу	2
73	30	Сколько джокеров в стандартной карточной колоде в 54 листа?	Два	Четыре	1
74	30	Какое движение избрало своим девизом фразу «Занимайтесь любовью, а не войной»?	Эмо	Хиппи	2
75	30	Куда заезжает водитель, паркуя свой автомобиль?	В карман	В рукав	1
76	30	В какой области получил нобелевскую премию У. Черчилль?	Математика	Литература	2
77	30	Какой из этих международных размеров одежды самый маленький?	S	M	1
78	30	На территории какой современной страны был убит, как говорят, Джеймс Кук?	США	Индия	1
79	30	Что является главным компонентом болотного газа?	Пропан	Метан	2
80	30	Сколько требуется очков звезд для открытия богини "Льва"?	18000	20000	1
81	30	В какой столице состоялся первый конкурс российских красавиц?	Москва	Париж	2
82	30	Какой из этих витаминов наиболее важен для свертывания человеческой крови?	Витамин D	Витамин C	1
83	30	Какую продукцию долгое время выпускал Сясьский комбинат в Ленинградской области?	Мыло	Туалетную бумагу	2
84	30	В каком месяце 1941 г. японская авиация напала на Пёрл-Харбор?	Декабрь	Июнь	1
85	30	Из какого языка пришло слово "алгебра"?	Арабского	Греческого	1
86	30	Где прожил последние годы до возвращения в США Эрнест Хемингуэй?	Баку	Куба	2
87	30	Что такое "оксфорды"?	Перчатки	Ботинки	2
88	30	На чём рисуют специалисты по латте-арт?	На кофейной пене	На очках	1
89	30	Единица с 9 нулями	Миллион	Миллиард	2
90	30	Что вставляют в автомобиль на заправке?	Ключ	Пистолет	2
91	30	Как называется жилище эскимосов, построенное из блоков смерзшегося снега?	Вигвам	Иглу	2
92	30	Какое животное древние египтяне учили прислуживать себе за столом?	Шакала	Бабуин	2
93	30	Согласно мифологии африканского племени бушменов человек произошел от…	Обезьяны	Пришельцев	1
94	30	На картине Я.В.Эйка «Портрет четы Арнольфини» в зеркале отражается...	сам Ван Эйк	череп	1
95	30	Кто нашел и впервые издал рукопись «Слово о полку Игореве»?	Г.Р. Державин	Мусин-Пушкин	2
96	30	Кого французы называют «летучими крысами»?	Голубей	Туристов	1
97	30	Под каким именем вошел в историю великий нидерландский художник Ван Акен?	Иероним Босх	Винсент ван Гог	1
98	30	Последними словами какого римского императора были: «Какой великий артист погибает»?	Цезаря	Нерона	2
99	30	Во время работы над каким фильмом были впервые использованы компьютерные спецэффекты?	Челюсти	Звездные войны	2
100	30	Основным населением какой страны являются кхмеры?	Камбоджи	Туниса	1
101	30	Какая компьютерная игра, согласно Книге рекордов Гиннеса, является самой популярной в мире?	Тетрис	Pac-man	2
102	30	Кого из «Звездных войн» «озвучивали» сразу четверо»?	Чубакку	R2-D2	1
103	30	Какое государство подарило США прославленную ныне Статую Свободы?	Франция	Дания	1
104	30	Француз скажет: «Это поделка из жеваной бумаги». А как мы назовем этот материал?	Папье-маше	Макраме	1
105	30	Какая собачка получится из 16,38 кг хвойного дерева?	Пудель	Стаффорд	1
106	30	Сколько требуется боевого рейтинга для входа на Дикий Грабеж?	200.000	100.000	2
107	30	Какая мера длины определяется двумя нотами?	Сантиметр	Миля	2
108	30	Какой древнегреческий бог олицетворял западный ветер?	Зефир	Одиссей	1
109	30	Какое созвездие изображено на флаге штата Аляска?	Большая медведица	Тельца	1
110	30	Место, где река впадает в море, называется...	Устье	Дельта	1
111	30	Кто стал президентом российской федерации в 2012 году?	Медведев	Путин	2
112	30	Из чего делается манная крупа?	Пшено	Пшеница	2
113	30	Пульс какого животного в покое составляет 35 ударов в минуту?	Лошадь	Кот	1
114	30	Число 10 в 12-й степени?	Миллиард	Триллион	2
115	30	Кем оказался "настоящий полковник" в песне Аллы Пугачёвой?	Уголовник	Майор	1
116	30	В некоторых государствах: лицо, добровольно поступившее на военную службу зовется?	Волонтер	Контрактник	1
117	30	Очиститель на стекле авто.	Уборщик	Дворник	2
118	30	Что такое прополис?	Зубная паста	Пчелиный клей	2
119	30	Столица республики Башкортостан?	Уфа	Воронеж	1
120	30	Причал Ноева ковчега?	Арарат	Азамат	1
121	30	Что не является кисломолочным продуктом?	Майонез	Сметана	1
122	30	Растворитель для акварельных красок?	Лак	Вода	2
123	30	В какой цвет йод окрашивает крахмал?	Красный	Синий	2
124	30	Сколько цветов изображено на светофоре для пешехода?	2	3	1
125	30	Как правильно едят плов?	Руками	Ложкой	1
126	30	Кем является Том в мультсериале "Том и Джери"?	Котом	Мышью	1
127	30	Как называется растение, плоды которого от прикосновения разбрасывают семена?	Ромашка	Недотрога	2
128	30	Кому установлен памятник на Цветном бульваре в Москве?	Юрию Никулину	Владимиру Путину	1
129	30	Какое чудо техники крестьяне 1920-х годов прозвали «железный конь»?	Комбайн	Трактор	2
130	30	Какой код возвращает сервер, если документ не найден?	521	404	2
131	30	Сколько рек вытекает из озера Байкал?	Восемь	Одна	2
132	30	Какая из этих птиц не относится к семейству соколиных?	Коршун	Химахима	1
133	30	Какой титул был у Мюнхгаузена?	Барон	Царь	1
134	30	Что такое тирамису?	Напиток	Десерт	2
135	30	На чем вырастает ананас?	На дереве	На земле	2
136	30	Где была изобретена бумага?	В Китае	В Индии	1
137	30	Как называют трусливого, робкого человека?	Заячья душа	Лопух	1
138	30	Кто был воспитателем Александра Македонского?	Ньютон	Аристотель	2
139	30	Геракл не победил:	Льва	Свинью	2
140	30	Как называется картина очень маленького размера?	Эскиз	Миниатюра	2
141	30	В Африке пиво используют для ловли:	Горилл	Алкашей	1
142	30	Какой фигурой советовал ходить Хмырю Косой в кинофильме "Джентльмены удачи"?	Конь	Ладья	1
143	30	Какого цвета яблоки Антоновка?	Зеленого	Желтого	2
144	30	Какой титул был у лимона из сказки о Чиполлино?	Изгой	Принц	2
145	30	Какие электростанции составляют основу энергетического потенциала России?	Тепловые	Гидро	1
146	30	Какое садовое дерево в средней полосе России начинает плодоносить раньше?	Абрикос	Вишня	2
147	30	Какого цвета нет на флаге России?	Белого	Желтого	2
148	30	Как зовут свинку из мультфильма "Смешарики"?	Нюша	Пеппа	1
149	30	Кем был кучер Золушки?	Крыса	Собака	1
150	30	Кентавр - человек с туловищем...?	Лошади	Быка	1
151	30	Формула соляной кислоты?	CO2	HCI	2
152	30	Что такое пуэр?	Кислота	Чай	2
153	30	Какое древнее домашнее животное человек приручил быстрее?	Собака	Кошка	1
154	30	Что несла Красная Шапочка своей бабушке?	Лекарства	Пирожки	2
155	30	О каких минералах говорят «Воды боится, а из воды родится?»	Соль	Сахар	1
156	30	Какая часть света самая высокая?	Европа	Азия	2
157	30	На какой естественный предмет больше всего похожа по своему строению Земля?	На яйцо	На банан	1
158	30	Как называется веревка с петлей на конце?	Лассо	Крюк	1
159	30	В греческой мифологии: герой, совершивший 12 подвигов	Геракл	Зевс	1
160	30	Как называется стая рыб?	Угол	Косяк	2
161	30	Камень, который грызут ученики?	Цитрин	Гранит	2
162	30	Сколько музыкантов в квинтете?	8	5	2
163	30	Сколько сантиметров составляет одна тысячная часть километра?	Десять	Сто	2
164	30	Сколько раз цифра 3 используется в записи двузначных чисел?	19 раз	23 раза	1
165	30	Какой российский город назван «в честь» древнейшего компьютера?	Абакан	Алейск	1
166	30	Где впервые начали украшать елку еще в Средневековье?	В России	В Германии	2
167	30	Когда впервые 1 января сделали выходным днем для россиян?	1898 год	1917 год	1
168	30	Как называется первый голливудский цветной фильм?	Жертвы Моря	Бекки Шарп	1
169	30	Сколько резиденций имеет Дед Мороз в России?	4	17	1
170	30	Что есть и у винтовки и у дерева?	Лист	Ствол	2
171	30	Какая кость в скелете - самая длинная?	Бедренная	Спинная	1
172	30	Кто возглавлял Генеральный штаб СССР с 1942 по 1945 г.?	Сталин	Василевский	2
173	30	Как называют жителей города Смоленска в РФ?	Смоллы	Смоляне	2
174	30	В какой стране используется своя система знаков дорожного движения?	В Китае	В Японии	1
175	30	Сколько братьев было у главной героини сказки Г.Х. Андерсена «Дикие лебеди?»	Три	Одиннадцать	2
176	30	Как моряки называли флаг России?	БЕСИК	БСК	1
177	30	Как называется гол, забитый игроком в ворота своей команды?	Автогол	Сам себе	1
178	30	Какое молоко никто не пил?	Варенное	Птичье	2
179	30	Какое основное приобретение делают перед новогодними праздниками японцы?	Грабли	Носки	1
180	30	Этот фильм в 1989 году стал вторым в прокате в советском кино. Назовите фильм.	Игла	Ирония судьбы	1
181	30	Кто автор высказывания "Сам погибай, а товарища выручай"?	Македонский	Суворов	2
182	30	Сколько мышц в теле человека?	Более 300	Более 600	2
183	30	Сколько дней продолжалась оборона Севастополя?	250 дней	170 дней	1
184	30	Назовите самое соленое море в Мировом океане	Черное море	Красное море	2
185	30	В какой стране нет официально установленных правил дорожного движения?	В Гвинее	В Анкара	1
186	30	Название темного крепкого пива?	Портер	Эль	1
187	30	Какой сок собирается весной?	Вишневый	Березовый	2
188	30	Сколько лучей у обычной снежинки?	Пять	Шесть	2
189	30	Как называется ближайшая к Солнцу планета?	Меркурий	Венера	1
190	30	Этот месяц называет закатом лета. Какой?	Июль	Август	2
191	30	Сколько лет пролежал на печи известный богатырь Илья Муромец?	33 года	41 год	1
192	30	Этого зверька, который любит поспать, Людвиг ванн Бетховен воспел в своей песне.	Сурок	Ленивец	1
193	30	Какой герой стал мужем принцессы Фионы?	Осел	Шрек	2
194	30	Кого, согласно известной пословице, по осени считают?	Цыплят	Котов	1
195	30	Газ, который образуется в процессе фотосинтеза растений?	Углерод	Кислород	2
196	30	Чем заканчивается ночь и день?	Закатом	Мягким знаком	2
197	30	Какой весенний месяц в старину назывался травник?	Март	Май	2
198	30	Чем, согласно пословице, зимой не дорожат?	Льдом	Землей	1
199	30	Какая страна первой запустила спутник?	США	СССР	2
200	30	Самая «солнечная» фигура в геометрии?	Луч	Диаметр	1
201	30	Какой перевод у слова «мцыри», одноименного произведения М.Ю. Лермонтова?	Послушник	Приспешник	1
202	30	С латинского языка название этого инструмента переводится как «дуновение»	Флейта	Саксофон	1
203	30	Что потерял ежик в тумане в одноименном мультфильме?	Себя	Узелок	2
204	30	Когда осень наступает по народному календарю?	14 Сентября	3 Октября	1
205	30	На какой вопрос нельзя дать положительный ответ?	Ты спишь?	Ты ешь?	1
206	30	Какое растение считалось священным у славян и отвечало за силу и достаток?	Ель	Дуб	2
207	30	Правила об этом виде специальных ударов в футболе приняли в 1891 году	Штрафной	Пенальти	2
208	30	Какой флаг запрещен во многих странах мира?	Нацистский	Не красивый	1
209	30	За какими фруктами прилетала Жар-птица в сказке «Иван-царевич и Серый волк»?	За апельсинами	За яблоками	2
210	30	В каком месяце в Австралии начинается осень?	В марте	В августе	1
211	30	Какое животное превратилось в котенка в мультфильме «Котенок с улицы Лизюкова»?	Бегемот	Слон	1
212	30	Ф. Лист называл этот музыкальный инструмент «королем всех инструментов»	Пианино	Рояль	2
213	30	Кому принадлежит выражение: «Краткость – сестра таланта»	Толстому	Чехову	2
214	30	Кто это? На цветке цветок пьет цветочный сок.	Пчела	Бабочка	2
215	30	Жир на зиму бобр накапливает именно в этой части тела. В какой?	В хвосте	В брюхе	1
216	30	В каком году 9 мая стал выходным днем? 	В 1965	В 1953	1
217	30	Первая изданная Международная Красная книга в мире появилась в	1966 году	1983 году	1
218	30	Какое футбольное амплуа было у сэра Артур Конан Дойла?	Защитник	Вратарь	2
219	30	Когда празднуется день Государственного флага России? 	22 Августа!	17 Декабря!	1
220	30	Продолжите народную мудрость: будет дождь, будут и …	Плоды	Грибы	2
221	30	Какой братец из сказки «Три поросенка» построил самый прочный дом?	Наф-наф	Нюф-Нюф	1
222	30	Название этой нелетающей птицы из Австралии состоит из двух нот. Что это за птица?	Додо	Ара	1
223	30	Людей с какой группой крови чаще кусают комары?	С 1	С 3	1
224	30	Какое животное каждый год 2 февраля вылезает из норы в американском городе и предсказывает погоду?	Обезьяна Чичи	Сурок Фил	2
225	30	В честь победы в какой битве был дан первый салют в Москве??	Ленинградской	Курская дуга	2
226	30	При каком государе была опричнина?	Иван Грозный	Петр Великий	1
227	30	Сколько людей стало назгулами в книге Толкиена "Властелин колец"?	9	12	1
228	30	Какое растение, по преданию, расцветает раз в году в ночь Ивана Купалы?	Папоротник	Кактус	1
229	30	Как зовут сына Форреста Гампа?	Форрест	Фрэд	1
230	30	Какой император, по преданию, сжег Рим?	Нерон	Клавдий	1
231	30	Был ли Гай Юлий Цезарь императором Рима?	Да	Нет	2
232	30	Каким по счету "Римом" считается Москва?	Третьим	Пятым	1
233	30	Какую горную цепь преодолел Суворов вместе с русской армией?	Альпы	Анды	1
234	30	Назовите столицу Австралии	Сидней	Канберра	2
235	30	Назовите столицу Бразилии	Рио-де-Жанейро	Бразилиа	2
236	30	В каком дворце находится Янтарная комната?	В Зимнем	В Екатерининском	2
237	30	Как звали теленка в мульфильме "Простоквашино"	Гаврюша	Василий	1
238	30	Про удачливого человека говорят: "Родился в..."	Рубашке	Понедельник	1
239	30	Как звали первого президента США?	Авраам Линкольн	Джордж Вашингтон 	2
240	30	Что такое десница?	Рука	Глаз	1
241	30	Какой цветок считался символом королевской власти во Франции?	Роза	Лилия	2
242	30	Сколько лет провел Робинзон Крузо на необитаемом острове?	27	15	1
243	30	Какова длина клетки в школьной тетради?	5 мм	7 мм	1
244	30	Кто написал сказку "Щелкунчик"?	Гофман	Чайковский	1
245	30	Сколько башен в Московском Кремле?	15	20	2
246	30	Какой элемент составляет основу звезд?	Гелий	Уран	1
247	30	Что едят коалы?	Листья эвкалипта	Траву	1
248	30	Какое сумчатое животное самое маленькое по размеру?	Сумчатая мышь	Крошка кенгуру	1
249	30	Сколько очков ярости требует навык "Огненный шар"?	12	16	1
250	30	Как называется способ взятия замка "измором"?	Осада	Приступ	1
251	30	Сколько драконов у Дейенерис Таргариен?	3	1	1
252	30	Что означало слово "стимул" в Древнем Риме?	Палка	Причина	1
253	30	Что скупал Чичиков в поэме Гоголя "Мертвые души"?	Крестьян	Землю	1
254	30	Сколько сыновей было у Тараса Бульбы?	2	1	1
255	30	Какое хвойное дерево сбрасывает листву осенью?	Лиственница	Сосна	1
256	30	Как зовут Деда Мороза во Франции?	Пер Ноэль	Санта	1
257	30	Какая актриса вышла замуж за князя Монако?	Вивьен Ли	Грейс Келли	2
258	30	В каком городе происходит большая часть фильма Броненосец "Потемкин"?	Одесса	Москва	1
259	30	Сколько струн чаще всего имеет гитара?	6	7	1
260	30	Как в простонародье называют руль автомобиля?	Баранка	Сушка	1
261	30	Как на Руси называли скандинавов?	Варяги	Норманны	1
262	30	Как во времена Пушкина называли людей с темной кожей?	Арап	Чернец	1
263	30	Что означает слово "тать"?	Вор	Войско	1
264	30	Кольца какого цвета нет на Олимпийской эмблеме?	Белый	Черный	1
265	30	Сколько кругов ада описал Данте в "Божественной комедии"?	9	12	1
266	30	Какие штаны у Губки Боба?	Квадратные	Круглые	1
267	30	Сколько кадров может воспринять человеческий глаз за секунду?	24	10	1
268	30	Какой город изображен на купюре достоинством 1000 рублей?	Ярославль	Москва	1
269	30	Как называется золотая монета в книгах и фильмах о Гарри Поттере?	Галлеон	Луидор	1
270	30	Как называется валюта Казахстана?	Тенге	Юань	1
271	30	На что похож удав, проглотивший слона?	На шляпу	На шарик	1
272	30	Какую битву описал в стихах Лермонтов?	Бородинскую	Сталинградскую	1
273	30	Мужчины какой национальности носят клетчатые юбки?	Шотландцы	Ирландцы	1
274	30	Какого святого считают покровителем влюбленных?	Валентина	Серафима	1
275	30	Какой из этих университетов находится в США?	Кембрижд	Гарвард	2
276	30	Когда добывают березовый сок?	Весной	Осенью	1
277	30	Как называют самцов пчелиного роя?	Трутень	Пчёл	1
278	30	Какое насекомое для других насекомых - "дойное"?	Тля	Божья коровка	1
279	30	Паук - это насекомое?	Да	Нет	2
280	30	Какое слово означало число 10 000 на Руси?	Тьма	Легион	1
281	30	Бывает ли белая смородина?	Да 	Нет	1
282	30	Какой кот самый улыбчивый?	Чеширский	Сиамский	1
283	30	На каком полюсе живут пингвины?	На обоих	Только на южном	2
284	30	На какой слог падает ударение в слове "звонит"?	На первый	На второй	2
285	30	Как звали жену князя Андрея Болконского?	Елизавета	Мария	1
286	30	Молот метают на дальность или в высоту?	На дальность	В высоту	1
287	30	Сколько у человека основных органов чувств?	Семь	Пять	2
288	30	Сколько холодных цветов в радуге?	Три	Семь	1
289	30	Сколько ног у улитки?	Одна	Две	1
290	30	Спортивный снаряд для подтягивания - это?	Турник	Перекладина	1
291	30	Сколько минут нужно ждать после закипания воды, чтобы яйцо сварилось вкрутую?	Около 5 минут	Около 10 минут	2
292	30	Сколько сантиметров составляет одна тысячная часть километра?	100 см	1000 см	1
293	30	Сколько продолжался полет Ю. Гагарина?	120 минут	108 минут	2
294	30	Сколько музыкантов в квинтете?	Три	Пять	2
295	30	Увидеть его и умереть. Кого - его?	Париж	Лондон 	1
296	30	Какого цвета статуя свободы?	Зеленого 	Белого	1
297	30	Когда началась Первая мировая?	1914	1839	1
298	30	Когда началась Вторая мировая?	1939	1945	1
299	30	Пингвины живут только в Антарктике?	Да 	Нет	1
300	30	Кем был открыт северный полюс?	Белинсгаузеном	Лазаревым	1
301	30	Сколько океанов на Земле?	4	5	2
302	30	В какое время года сутки короче?	Зимой	Всегда одинаковые	2
303	30	Каких листьев осенью больше?	Желтых	Красных	1
304	30	Панорама какого города изображена 500 рублёвой купюре?	Волгоград	Архангельськ	2
305	30	Как еще называю футбольного вратаря?	Никак	Голкипер	2
306	30	Чей домик оказался крепче всего в сказке “Три поросёнка”?	Нуф-Нуфа	Наф-Нафа	2
307	30	Какую шахматную фигуру называют Королева? 	Ферзь	Ладья	1
308	30	Как называется самый большой мегаполис Японии?	Токио-Йокогама 	Токио-Фукуока	1
309	30	Кто написал “Му-му”? 	Пушкин	Тургенев	2
310	30	К какой стихии относится знак зодиака “Водолей”?	воздух	вода	1
311	30	В какое море впадает река Днестр?	В Чёрное	В Балтийское	1
312	30	Кто написал роман “Три мушкетера”?	В.Гюго	А.Дюма	2
313	30	Какая религия является основной в Монголии?	Мусульманство	Буддизм	2
314	30	Сколько букв в русском языке?	33	32	1
315	30	Сколько корон у орла на гербе РФ?	3	2	1
316	30	Имя главного героя трилогии “Властелин колец”?	Фробо	Фродо	2
317	30	Как называется "японская вишня"?	Сакура	Юкка	1
318	30	Как правильно называется женское кимоно?	Юката	Кинчаку	1
319	30	Как японцы называют свою страну?	Япония	Ниппои	2
320	30	Какой самый большой по лощади остров в Японии?	Хонсю	Кюсю	1
321	30	Спиртной напиток японцев?	Сакэ	Куфуку	1
322	30	Какую планету называют красной?	Марс	Юпитер	1
323	30	Город дождей.	Петербург	Лондон	1
324	30	Где находится "Туманный альбион"?	Англия	Южная Америка	1
325	30	Кто первый обогнул с юга Африку?	Португальцы	Финикийцы	2
326	30	Кто прорубил "Окно в Эвропу"?	Петр I	Александр I	1
327	30	Кто написал “Война и мир”?	Л.Толстой	М.Лермонтов	1
328	30	Как звали главную героиню из романа “Война и мир”? 	Наталья	Ольга	1
329	30	Колонией какой страны была Канада?	Португалия	Британия	2
330	30	Как зовут Ньютона?	Иоан	Исаак	2
331	30	Что такое “Гаспачо”?	Суп	Фрукт	1
332	30	Что было в голове Винни-пуха?	Опилки	Мозги	1
333	30	Как называют человека который знает много языков?	Полиглот	Лингвист	1
334	30	Какая птица не спит ночью?	Сова	Ястреб	1
335	30	Есть ли в Антарктиде растения?	Нет	Да	2
336	30	Есть ли в Антарктиде реки?	Да	Нет	1
337	30	Какая кнопка на пк подтверждает выполнение операции ?	Enter	Tab	1
338	30	В каком городе находится Ейфелевая башня?	Париж	Венеция	1
339	30	Город на воде.	Венеция	Мадрид	1
340	30	Круглое оптическое стекло для одного глаза .	Монокль	Подзорная труба	1
341	30	Чем когда-то был каменный уголь?	Растениями	Магмой	1
342	30	Женщина придумавшая праздник 8 марта?	Клара Цеткин	Мария Кюри	1
343	30	На месте Сахары раньше было	Горы	Море	2
344	30	Какую должность занимал Л.И.Брежнев?	Генсек	Президент	1
345	30	Кто такой кинолог?	Собаковод	Конюх	1
346	30	Что такое лозоходство?	Поиск ископаемых	Спиритизм	1
347	30	Какие животные могут проводить электричество?	Крабы	Угри	2
348	30	Калахари это	Река	Пустыня	2
349	30	Как назывались динозавры которые жили в океане? 	Ихтиозавры	Стегозавры	1
350	30	Где чаще всего встречаются залежи серы? 	Возле вулканов	На шельфе океана	1
351	30	Какой слон поддается приручению?	Индийский	Африканский	1
352	30	Территория какой страны похожа на ”сапог” ?	Финляндия	Италия	2
353	30	Правда ли что есть рыба-луна?	Нет 	Да	2
354	30	Как назывался корабль капитана Немо?	Наутилус	Титаник	1
355	30	Как звали возлюбленную Айвенго ?	Леди Ровена	Леди Элиза	1
356	30	Какое животное есть символом факультета Слизарен?	Змея	Ящерица	1
357	30	Как правильно называется сериал? 	Дневники Вампира	Записи Вампира	1
358	30	Как зовут главного героя фильма “Один дома”?	Том	Кевин	2
359	30	Какая група спела песню “Беспечный ангел”?	КИНО	Ария	2
360	30	Как называется аллея где можно получить звезду?	Аллея славы 	Аллея звезд	1
361	30	Какая птица есть символом Новой Зеландии?	Киви	Страус	1
362	30	Чей литературный мир дал начало серии книг “Сталкер”? 	Дарья Донцова	Стругацкие	2
363	30	В переодической системе имеет номер 1	Водород	Гелий	1
364	30	Какие зеркала считаются настоящими?	Венецианские	Версальские	1
365	30	Что входило в настоящий рецепт “Оливье”? 	Креветки	Курица	1
366	30	Что такое фуагра?	Гусиная печень	Фрукт	1
367	30	Как назывался языческий бог ветра у давних славян?	Велес	Перун	1
368	30	Как будет “принцесса” по японски?	Химе	Дайфуку	1
369	30	Что такое атолл?	Коралловый остров 	Риф	1
370	30	Как зовут главного героя мультфильма "Гриффины"?	Питер	Джордж	1
371	30	Гром бывает зимой? 	Нет	Да	1
372	30	Где холоднее на Южном или на Северном полюсе?	на Северном	на Южном	2
373	30	Какая самая низкая температура зарегистрированная на Земле?	-78	-91.2	2
374	30	Как ученные измерят силу землятресения? 	в Баллах	в Ньютонах	1
375	30	Грибы это растения?	Да	Нет	2
376	30	У всех ли растений есть корни?	Да	Нет	2
377	30	Кто придумал бутерброд?	Джон Монтегю	Жульен Странст	1
